individualCount,decimalLatitude,decimalLongitude,vernacularName
5,42.846666,-61.828333,DOLPHINS-STRIPED
6,39.83,-70.911666,DOLPHINS (NS)
6,43.83,-58.948333,DOLPHINS-STRIPED
1,44.624333,-66.469166,WHALE-RIGHT
1,44.244,-66.548833,WHALE-MINKE
2,43.816666,-58.971666,WHALE- LONG-FINNED PILOT
15,35.828333,-74.45,DOLPHINS (NS)
1,44.586666,-66.471666,WHALE-RIGHT
20,39.828333,-70.41,DOLPHINS (NS)
1,44.2425,-66.553333,WHALE-MINKE
1,44.477166,-66.486166,WHALE-RIGHT
5,44.617166,-66.471666,WHALE-RIGHT
1,44.222166,-66.5525,WHALE-MINKE
1,44.106666,-60.046666,WHALES (NS)
1,44.516833,-66.487,WHALE-RIGHT
1,44.235,-66.585,WHALE-MINKE
1,44.235333,-66.566,WHALE-MINKE
1,44.2155,-66.581666,WHALE-MINKE
5,39.833333,-70.55,DOLPHINS (NS)
1,44.471833,-66.479,WHALE-RIGHT
1,44.228333,-57.95,WHALE-NORTHERN BOTTLENOSE
1,44.4835,-66.485333,WHALE-RIGHT
1,43.8585,-58.901833,WHALE-NORTHERN BOTTLENOSE
1,43.99,-58.96,WHALE-SPERM
1,44.242,-66.555166,WHALE-MINKE
1,44.4965,-66.512666,WHALE-RIGHT
6,43.6645,-58.8955,DOLPHINS (NS)
2,44.557333,-66.503833,WHALE-RIGHT
1,44.289333,-66.56,WHALE-MINKE
1,44.5105,-66.503166,WHALE-RIGHT
1,44.225333,-66.592,WHALE-MINKE
1,44.236,-66.578,WHALE-MINKE
1,44.255666,-66.534666,WHALE-MINKE
2,44.018833,-59.2715,WHALES (NS)
1,44.487666,-66.4885,WHALE-RIGHT
1,44.222333,-66.541666,WHALE-MINKE
4,44.222333,-66.552666,WHALE-MINKE
2,43.0797,-63.0525,WHALE-HUMPBACK
1,44.2525,-66.5345,WHALE-MINKE
1,44.228333,-66.541166,WHALE-MINKE
1,44.624333,-66.469166,WHALE-RIGHT
1,44.523,-66.5095,WHALE-RIGHT
