individualCount,eventID,decimalLatitude,decimalLongitude,vernacularName
5,33245,44.685,-66.433166,WHALE-RIGHT
5,117282,43.628333,-63.346666,WHALE-RIGHT
5,118056,44.905833,-66.733833,WHALE-RIGHT
5,118084,44.923166,-66.8835,WHALE-RIGHT
5,23393,44.556333,-66.517833,WHALE-RIGHT
5,23395,44.6335,-66.4835,WHALE-RIGHT
5,23398,44.603666,-66.4045,WHALE-RIGHT
5,23392,44.600166,-66.504666,WHALE-RIGHT
5,23396,44.685,-66.463333,WHALE-RIGHT
5,11407,44.807833,-66.769333,WHALE-RIGHT
5,8519,44.577833,-66.425,WHALE-RIGHT
5,8368,42.3,-66.5,WHALE-RIGHT
5,7977,44.641666,-66.31,WHALE-RIGHT
5,7410,44.749833,-66.427,WHALE-RIGHT
5,8665,44.665,-66.462166,WHALE-RIGHT
5,8660,44.627666,-60.424166,WHALE-RIGHT
5,8621,44.617333,-66.486166,WHALE-RIGHT
5,8624,44.613833,-66.4865,WHALE-RIGHT
5,8585,44.5975,-66.5125,WHALE-RIGHT
5,8604,44.654166,-66.482166,WHALE-RIGHT
5,8581,44.625166,-66.4895,WHALE-RIGHT
5,8577,44.660333,-66.477833,WHALE-RIGHT
5,8580,44.6475,-66.478833,WHALE-RIGHT
5,8599,44.689833,-66.518,WHALE-RIGHT
5,8563,44.696666,-66.461166,WHALE-RIGHT
5,8603,44.673833,-66.472,WHALE-RIGHT
5,8545,44.685833,-66.491166,WHALE-RIGHT
5,8525,44.67,-66.503333,WHALE-RIGHT
5,8537,44.683166,-66.473333,WHALE-RIGHT
5,8541,44.6715,-66.476,WHALE-RIGHT
5,8572,44.634,-66.4715,WHALE-RIGHT
5,8561,44.7035,-66.47,WHALE-RIGHT
5,8564,44.693333,-66.4565,WHALE-RIGHT
5,8570,44.640333,-66.495333,WHALE-RIGHT
5,8532,44.7015,-66.492333,WHALE-RIGHT
5,8523,44.620833,-66.53,WHALE-RIGHT
5,2816,44.674333,-66.455,WHALE-RIGHT
5,2817,44.673166,-66.454,WHALE-RIGHT
5,2702,44.650166,-66.4125,WHALE-RIGHT
5,2700,44.644666,-66.4295,WHALE-RIGHT
5,2660,44.6205,-66.6485,WHALE-RIGHT
5,2659,44.619333,-66.6535,WHALE-RIGHT
5,1757,44.593333,-66.515666,WHALE-RIGHT
5,3504,44.001,-67.101,WHALE-RIGHT
5,3421,42.525,-65.8,WHALE-RIGHT
5,3134,44.584666,-66.477166,WHALE-RIGHT
5,3085,44.725833,-66.376,WHALE-RIGHT
5,344,44.522,-66.554833,WHALE-RIGHT
5,343,44.522,-66.563,WHALE-RIGHT
5,640,44.611,-66.451333,WHALE-RIGHT
5,639,44.611666,-66.4505,WHALE-RIGHT
5,588,44.6255,-66.438833,WHALE-RIGHT
5,599,44.640833,-66.428166,WHALE-RIGHT
5,585,44.625833,-66.4335,WHALE-RIGHT
5,592,44.622166,-66.4325,WHALE-RIGHT
5,587,44.6265,-66.439833,WHALE-RIGHT
5,595,44.633666,-66.432166,WHALE-RIGHT
4,143991,40.8993,-70.326,WHALE-RIGHT
4,39513,44.329333,-66.539,WHALE-RIGHT
4,39537,44.584333,-66.609333,WHALE-RIGHT
4,116814,41.853166,-66.085,WHALE-RIGHT
4,33235,44.288166,-66.4515,WHALE-RIGHT
4,134524,44.795,-66.73833,WHALE-RIGHT
4,19053,44.65,-66.499833,WHALE-RIGHT
4,19056,44.68,-66.5185,WHALE-RIGHT
4,11555,44.808166,-66.759166,WHALE-RIGHT
4,8553,44.686666,-66.461333,WHALE-RIGHT
4,3459,43.533,-67.808,WHALE-RIGHT
4,3082,44.721166,-66.371166,WHALE-RIGHT
4,641,44.611,-66.451333,WHALE-RIGHT
4,122651,42.218333,-66.258333,WHALE-RIGHT
4,122658,42.19,-66.20667,WHALE-RIGHT
4,122653,42.223333,-66.256667,WHALE-RIGHT
4,143975,41.0747,-70.7023,WHALE-RIGHT
4,143972,41.1046,-70.6125,WHALE-RIGHT
4,121816,42.83333,-66.0666,WHALE-RIGHT
4,122596,47.825,-63.898,WHALE-RIGHT
4,121559,42.153833,-66.223166,WHALE-RIGHT
4,88859,42.821166,-65.2025,WHALE-RIGHT
4,88887,42.876166,-65.220666,WHALE-RIGHT
4,83628,44.575,-66.446666,WHALE-RIGHT
4,82795,42.943,-60.942333,WHALE-RIGHT
4,82825,42.973166,-60.984333,WHALE-RIGHT
4,62229,42.965,-65.1835,WHALE-RIGHT
4,62219,42.852666,-65.168333,WHALE-RIGHT
4,62199,42.973333,-65.045833,WHALE-RIGHT
4,63154,44.6,-66.416666,WHALE-RIGHT
